Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
Ad Set 1,35-44,unknown,152,1.421053,3.12,216,14.444444,,,,20.526316,,,1,,5,,
Ad Set 1,35-44,female,6777,1.091486,101.53,7397,13.725835,21,4.834762,0.283899,14.981555,,,30,8,258,,
Ad Set 1,35-44,male,6041,1.191359,70.83,7197,9.841601,21,3.372857,0.291788,11.72488,,5,50,18,283,,14.166
Ad Set 1,25-34,unknown,314,1,3.34,314,10.636943,1,3.34,0.318471,10.636943,,,2,2,9,,
Ad Set 1,25-34,male,7184,1.092567,63.25,7849,8.058351,20,3.1625,0.25481,8.804287,,2,36,28,218,,31.625
Ad Set 1,25-34,female,6001,1.125979,76.95,6757,11.38819,23,3.345652,0.340388,12.822863,,3,27,4,218,,25.65
Ad Set 2,35-44,unknown,112,1.223214,2.97,137,21.678832,,,,26.517857,,,,,,,
Ad Set 2,35-44,male,3324,1.23556,82.53,4107,20.09496,21,3.93,0.511322,24.82852,1,2,7,1,15,82.53,41.265
Ad Set 2,25-34,unknown,168,1.255952,4.25,211,20.14218,,,,25.297619,,,,,1,,
Ad Set 2,35-44,female,4064,1.17372,138.34,4770,29.002096,46,3.007391,0.964361,34.040354,1,6,9,3,28,138.34,23.056667
Ad Set 2,25-34,male,4900,1.261633,111.54,6182,18.042705,43,2.593953,0.695568,22.763265,1,3,5,1,19,111.54,37.18
Ad Set 2,25-34,female,4404,1.231608,138.06,5424,25.45354,46,3.001304,0.848083,31.348774,3,10,6,,26,46.02,13.806
Ad Set 3,25-34,male,905,1.01105,23.78,915,25.989071,9,2.642222,0.983607,26.276243,,,1,1,,,
Ad Set 3,25-34,unknown,27,1,0.55,27,20.37037,,,,20.37037,,,,,,,
Ad Set 3,25-34,female,775,1.006452,28.31,780,36.294872,4,7.0775,0.512821,36.529032,,2,1,1,1,,14.155
Ad Set 3,35-44,female,571,1.003503,23.69,573,41.343805,2,11.845,0.34904,41.488616,,,2,,,,
Ad Set 3,35-44,male,478,1.006276,13.66,481,28.399168,1,13.66,0.2079,28.577406,,,2,,1,,
Ad Set 3,35-44,unknown,19,1,0.6,19,31.578947,,,,31.578947,,,,,,,
Ad Set 4,35-44,female,11536,1.234743,442.55,14244,31.069222,139,3.183813,0.975849,38.362517,10,27,33,4,67,44.255,16.390741
Ad Set 4,35-44,male,6696,1.366786,183.91,9152,20.095061,62,2.96629,0.677448,27.465651,4,11,12,3,23,45.9775,16.719091
Ad Set 4,25-34,unknown,504,1.259921,11.62,635,18.299213,2,5.81,0.314961,23.055556,,,,,1,,
Ad Set 4,25-34,male,11424,1.300683,259.51,14859,17.464836,114,2.276404,0.767212,22.716211,3,16,5,3,19,86.503333,16.219375
Ad Set 4,25-34,female,12680,1.279101,406.1,16219,25.038535,128,3.172656,0.789198,32.026814,6,22,8,,46,67.683333,18.459091
Ad Set 4,35-44,unknown,272,1.389706,9.03,378,23.888889,3,3.01,0.793651,33.198529,1,1,,,,9.03,9.03
Ad Set 4,45-54,male,0,0,0.02,1,20,,,,0,,,,,,,
Ad Set 4,65+,female,0,0,0,1,0,,,,0,,,,,,,
Ad Set 4,65+,male,0,0,0.03,1,30,,,,0,,,,,,,
Ad Set 5,25-34,male,9236,1.193482,254.98,11023,23.131634,74,3.445676,0.671324,27.607189,4,9,12,3,37,63.745,28.331111
Ad Set 5,25-34,female,3796,1.079557,95.57,4098,23.321132,18,5.309444,0.439239,25.176502,3,8,11,1,114,31.856667,11.94625
Ad Set 5,35-44,unknown,144,1.263889,4.14,182,22.747253,,,,28.75,,,,,1,,
Ad Set 5,35-44,male,4308,1.147864,91.8,4945,18.564206,12,7.65,0.242669,21.309192,5,8,21,8,146,18.36,11.475
Ad Set 5,35-44,female,5436,1.103569,151.43,5999,25.24254,35,4.326571,0.583431,27.85688,4,13,22,6,171,37.8575,11.648462
Ad Set 5,25-34,male,3728,1.066255,69.16,3975,17.398742,14,4.94,0.352201,18.551502,,5,6,10,82,,13.832
Ad Set 5,25-34,unknown,188,1.010638,2.98,190,15.684211,,,,15.851064,,,,,2,,
Ad Set 6,25-34,male,42688,1.354924,1013.22,57839,17.517938,524,1.933626,0.905963,23.735476,39,79,37,13,94,25.98,12.82557
Ad Set 6,25-34,unknown,4320,1.270602,94.43,5489,17.203498,61,1.548033,1.111314,21.858796,5,7,2,2,15,18.886,13.49
