,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
0,1,35-44,unknown,152,1.4210530000000001,3.12,216,14.444444,0.0,,,20.526316,0.0,0.0,1.0,0.0,5.0,,
1,1,35-44,female,6777,1.091486,101.53,7397,13.725835,21.0,4.8347620000000004,0.28389899999999996,14.981554999999998,0.0,0.0,30.0,8.0,258.0,,
2,1,35-44,male,6041,1.191359,70.83,7197,9.841600999999999,21.0,3.3728569999999998,0.291788,11.72488,0.0,5.0,50.0,18.0,283.0,,14.165999999999999
3,1,25-34,unknown,314,1.0,3.34,314,10.636942999999999,1.0,3.34,0.318471,10.636942999999999,0.0,0.0,2.0,2.0,9.0,,
4,1,25-34,male,7184,1.092567,63.25,7849,8.058351,20.0,3.1625,0.25481,8.804287,0.0,2.0,36.0,28.0,218.0,,31.625
5,1,25-34,female,6001,1.125979,76.95,6757,11.38819,23.0,3.345652,0.340388,12.822863,0.0,3.0,27.0,4.0,218.0,,25.65
6,2,35-44,unknown,112,1.223214,2.97,137,21.678832,0.0,,,26.517857,0.0,0.0,0.0,0.0,0.0,,
7,2,35-44,male,3324,1.23556,82.53,4107,20.09496,21.0,3.93,0.511322,24.82852,1.0,2.0,7.0,1.0,15.0,82.53,41.265
8,2,25-34,unknown,168,1.255952,4.25,211,20.14218,0.0,,,25.297619,0.0,0.0,0.0,0.0,1.0,,
9,2,35-44,female,4064,1.17372,138.34,4770,29.002096,46.0,3.007391,0.964361,34.040354,1.0,6.0,9.0,3.0,28.0,138.34,23.056667
10,2,25-34,male,4900,1.261633,111.54,6182,18.042704999999998,43.0,2.593953,0.6955680000000001,22.763265,1.0,3.0,5.0,1.0,19.0,111.54,37.18
